kode,nama,nama_latin,asal,kategori,tipe,keterangan,air_g,energi_kal,protein_g,lemak_g,karbo_g,serat_g,abu_g,kalsium_mg,fosfor_mg,besi_mg,natrium_mg,kalium_mg,tembaga_mg,seng_mg,retinol_mcg,b_kar_mcg,kar_total_mcg,thiamin_mg,riboflavin_mg,niasin_mg,vit_c_mg,status_energi,status_protein,status_kalsium,status_besi,skor_gizi_anak
FR001,"Anak sapi, daging, gemuk, segar (Veal, meat, high fat, fresh)",Bos javanicus,-,Daging,Mentah (Raw),-,62.0,184.0,18.8,14.0,0.0,0.0,5.2,10.0,200.0,2.2,118.0,490.1,0.17,3.3,12.0,37.0,4.0,0.13,0.17,7.0,0.0,Kurang,Lebih,Kurang,Kurang,0.1208
FR002,"Anak sapi, daging, kurus, segar (Veal, meat, high fat, fresh)",Bos javanicus,-,Daging,Mentah (Raw),-,69.0,174.0,19.6,10.0,0.0,0.0,1.4,11.0,201.0,2.9,96.0,399.8,0.14,2.7,6.0,30.0,4.0,0.08,0.14,5.7,0.0,Kurang,Lebih,Kurang,Kurang,0.1227
FR003,"Anak sapi, daging, sedang, segar (Veal, meat, fresh)",Bos javanicus,-,Daging,Mentah (Raw),-,68.0,190.0,19.1,12.0,0.0,0.0,0.9,11.0,193.0,2.9,99.0,412.7,0.14,2.8,12.0,83.0,4.0,0.14,0.15,5.9,0.0,Kurang,Lebih,Kurang,Kurang,0.1255
DR003,"Andaliman, segar",Zanthoxylum acanthopodium,-,Sayuran,Mentah (Raw),-,74.2,99.0,4.6,1.0,18.0,8.5,2.2,383.0,107.0,2.9,29.0,201.0,0.2,0.7,0.0,2.0,6.0,3.0,0.1,0.8,15.0,Kurang,Kurang,Cukup,Kurang,0.147
DR004,"Andewi, segar (Endive, fresh)",Cichorium endivia,-,Sayuran,Mentah (Raw),-,91.8,226.0,1.6,0.2,5.3,4.1,1.1,33.0,66.0,1.0,29.0,414.6,0.13,1.0,0.0,1.0,4.0,0.14,0.09,0.5,10.0,Kurang,Kurang,Kurang,Kurang,0.0774
ER002,"Anggur hutan, segar",-,-,Buah,Mentah (Raw),-,92.3,30.0,0.5,0.2,6.8,1.2,0.2,39.0,12.0,1.1,29.0,201.0,0.2,0.7,0.0,2.0,1.0,0.01,0.1,0.8,3.0,Kurang,Kurang,Kurang,Kurang,0.0207
FR004,"Angsa, daging, segar (Goose, meat, fresh)",Cygnus cygnus dom.,-,Daging,Mentah (Raw),-,51.1,349.0,16.4,31.5,0.0,0.0,1.0,15.0,188.0,1.8,71.0,299.2,0.26,1.7,273.0,0.0,4.0,0.1,0.24,7.1,0.0,Kurang,Cukup,Kurang,Kurang,0.1591
DP023,"Anyang, sayur",-,Medan,Sayuran,Olahan (Processed),"Seperti urap sayuran, biasanya terdiri dari daun pakis, tauge, daun pepaya, kacang panjang, kangkung dan kelapa parut",76.9,126.0,3.4,7.9,10.3,5.4,1.5,180.0,1.0,2.9,290.0,181.0,0.3,1.2,0.0,3.0,4.0,0.2,0.1,0.8,0.0,Kurang,Kurang,Kurang,Kurang,0.0983
AP027,"Apang kukus, kue",-,-,Serealia,Olahan (Processed),"Seperti kue mangkok. Berbahan dasar tepung beras, santan dan gula merah yang diolah dengan cara di kukus",49.5,202.0,3.0,0.3,46.7,1.4,0.5,55.0,93.0,1.9,29.0,201.0,0.2,0.7,0.0,2.0,4.0,0.1,0.1,0.8,0.0,Kurang,Kurang,Kurang,Kurang,0.0834
ER003,"Apel malang, segar (Apel, green, fresh)",Malus domestica,-,Buah,Mentah (Raw),-,85.9,57.0,0.5,0.4,12.8,0.8,0.3,9.0,18.0,0.6,4.0,175.4,110.16,0.0,0.0,26.0,2.0,0.05,0.03,0.1,5.0,Kurang,Kurang,Kurang,Kurang,0.0193
ER004,"Apel, segar",-,-,Buah,Mentah (Raw),-,84.1,58.0,0.3,0.4,14.9,2.6,0.3,6.0,10.0,0.3,2.0,130.0,124.2,0.3,0.0,30.0,90.0,0.04,0.03,0.1,5.0,Kurang,Kurang,Kurang,Kurang,0.0173
AP028,"Apem, kue",-,-,Serealia,Olahan (Processed),"Seperti kue mangkok. Berbahan dasar tepung beras, santan dan gula merah yang diolah dengan cara di kukus",63.1,148.0,2.0,0.5,33.9,1.4,0.5,55.0,93.0,1.9,29.0,201.0,0.2,0.7,0.0,2.0,4.0,0.1,0.1,0.8,0.0,Kurang,Kurang,Kurang,Kurang,0.065
ER005,"Arbai, segar (Arbein, fresh)",Rubus rosifolius,-,Buah,Mentah (Raw),-,89.9,37.0,0.8,0.5,8.3,1.4,0.5,28.0,27.0,0.8,2.0,43.0,63.52,18.9,0.0,2.0,60.0,0.03,0.0,0.1,60.0,Kurang,Kurang,Kurang,Kurang,0.0201
DP024,"Ares, sayur",-,NTB,Sayuran,Olahan (Processed),Masakan dari umbut / hati batang pisang dimasak dengan santan dan bumbu (gulai),77.7,113.0,0.9,7.2,11.2,4.7,3.0,63.0,5.0,1.5,1.0,1.0,0.7,3.8,0.0,6.0,4.0,0.1,0.1,0.5,0.0,Kurang,Kurang,Kurang,Kurang,0.0525
BR001,"Arrowroot, segar (Arrowroot, fresh)",Maranta arundinacea,-,Umbi Berpati,Mentah (Raw),-,73.5,102.0,1.0,0.2,24.1,1.7,1.2,28.0,35.0,1.7,36.0,626.6,0.2,0.8,0.0,15.0,0.0,0.06,0.1,2.3,2.0,Kurang,Kurang,Kurang,Kurang,0.0413
DP025,Arwan sirsir,-,Maluku Tenggara,Sayuran,Olahan (Processed),"Bahan dasar terdiri dari daun kasbi, daun pepaya, bunga pepaya dimasak dengan santan",59.0,277.0,2.4,25.0,10.7,4.6,2.9,120.0,40.0,2.4,240.0,320.0,0.2,0.9,0.0,1.0,4.0,0.1,0.2,0.0,11.0,Kurang,Kurang,Kurang,Kurang,0.1204
NR001,"Asam arang coklat, segar",-,-,Bumbu,Mentah (Raw),-,66.1,130.0,0.5,1.1,30.9,1.5,1.4,79.0,113.0,4.3,13.0,201.0,0.0,0.7,0.0,745.0,0.0,0.01,0.2,0.0,0.0,Kurang,Kurang,Kurang,Cukup,0.0673
NR002,"Asam arang merah, segar (Mysore Gamboge, fresh)",Garcinia xanthochymus,-,Bumbu,Mentah (Raw),-,75.9,99.0,0.8,1.6,20.3,2.8,1.4,69.0,300.0,4.6,2.0,95.7,0.0,0.1,0.0,529.0,0.0,0.01,0.34,1.6,0.0,Kurang,Kurang,Kurang,Cukup,0.0578
NR004,"Asam kandis, segar (Mysore Gamboge, fresh)",Garcinia xanthochymus,-,Bumbu,Mentah (Raw),-,81.5,75.0,0.2,1.1,16.1,3.4,1.1,63.0,139.0,2.5,93.0,93.2,0.1,0.1,0.0,41.0,0.0,0.01,0.0,0.1,0.0,Kurang,Kurang,Kurang,Kurang,0.0421
NR005,"Asam masak pohon, segar (Tamarind, fresh)",Tamarindus  indica,-,Bumbu,Mentah (Raw),-,31.4,267.0,2.8,0.6,62.5,1.2,2.7,74.0,113.0,0.6,9.0,139.5,0.09,0.1,0.0,9.0,30.0,0.34,0.04,0.7,2.0,Kurang,Kurang,Kurang,Kurang,0.1024
NR006,"Asam payak, segar (Asam paya/ kelubi/ kuwai-kuwai)",Eleiodoxa conferta,-,Bumbu,Mentah (Raw),-,65.1,135.0,0.8,0.4,32.1,10.0,1.6,60.0,39.0,5.7,0.0,201.0,0.2,0.7,0.0,2.0,0.0,0.0,0.1,0.8,0.0,Kurang,Kurang,Kurang,Cukup,0.0684
NR003,"Asan kandis, kering (Mysore Gamboge, dry)",Garcinia xanthochymus,-,Bumbu,Mentah (Raw),-,32.2,261.0,0.9,1.6,63.3,5.0,2.0,192.0,657.0,4.4,26.0,341.4,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,Kurang,Kurang,Kurang,Cukup,0.1346
DP022,"Asinan Bogor, sayuran",-,-,Sayuran,Olahan (Processed),-,78.0,98.0,3.9,2.6,14.8,0.5,0.7,314.0,17.0,1.2,483.0,201.0,0.2,0.7,10.0,2.0,146.0,0.28,0.1,0.8,5.0,Kurang,Kurang,Cukup,Kurang,0.1222
FP027,"Ayam  goreng Kentucky,sayap",-,-,Daging,Olahan (Processed),-,44.7,297.0,35.9,15.2,1.6,0.0,2.6,103.0,227.0,4.4,807.0,248.4,0.06,1.4,22.0,2.0,70.0,0.73,0.14,6.5,0.0,Kurang,Lebih,Kurang,Cukup,0.2395
FP021,"Ayam goreng church texas, dada",-,-,Daging,Olahan (Processed),-,42.2,338.0,35.2,20.6,0.4,0.0,1.5,79.0,221.0,5.6,800.0,369.5,0.16,1.1,16.0,2.0,80.0,0.52,0.16,12.1,0.0,Kurang,Lebih,Kurang,Cukup,0.2456
FP023,"Ayam goreng church texas, sayap",-,-,Daging,Olahan (Processed),-,47.2,295.0,34.0,16.0,1.5,0.0,1.3,81.0,179.0,3.0,771.0,237.2,0.16,1.2,13.0,2.0,50.0,0.44,0.13,6.2,0.0,Kurang,Lebih,Kurang,Kurang,0.2233
FP022,"Ayam goreng church,texas paha",-,-,Daging,Olahan (Processed),-,50.3,287.0,31.0,15.7,1.7,0.0,1.3,99.0,176.0,4.1,723.0,257.0,0.17,1.5,22.0,2.0,30.0,0.66,0.2,5.3,0.0,Kurang,Lebih,Kurang,Cukup,0.2184
FP024,"Ayam goreng kalasan, paha",-,-,Daging,Olahan (Processed),-,46.2,275.0,37.4,12.2,1.3,0.0,2.9,116.0,237.0,5.8,176.0,321.9,0.16,1.5,10.0,0.0,50.0,0.1,0.1,0.8,0.0,Kurang,Lebih,Kurang,Cukup,0.2454
FP025,"Ayam goreng kentucky, dada",-,-,Daging,Olahan (Processed),-,46.5,298.0,34.2,16.8,0.1,0.0,2.5,90.0,284.0,5.5,741.0,342.0,0.07,1.0,36.0,2.0,50.0,0.19,0.0,0.0,0.0,Kurang,Lebih,Kurang,Cukup,0.2336
FP026,"Ayam goreng Kentucky, paha",-,-,Daging,Olahan (Processed),-,48.7,286.0,32.1,16.1,1.1,0.0,2.0,89.0,248.0,6.9,746.0,265.2,0.09,2.3,31.0,2.0,20.0,0.5,0.21,5.5,0.0,Kurang,Lebih,Kurang,Cukup,0.2265
FP028,Ayam goreng mbok berek dada,-,-,Daging,Olahan (Processed),-,43.4,295.0,39.2,13.6,1.0,0.0,2.8,114.0,278.0,5.4,29.0,201.0,0.2,0.7,8.0,2.0,50.0,0.19,0.1,0.8,0.0,Kurang,Lebih,Kurang,Cukup,0.2555
FP029,"Ayam goreng pasundan, dada",-,-,Daging,Olahan (Processed),-,50.1,246.0,37.9,9.0,0.7,0.0,2.3,90.0,260.0,7.5,29.0,201.0,0.2,0.7,6.0,2.0,70.0,0.16,0.1,0.0,0.0,Kurang,Lebih,Kurang,Lebih,0.2367
FP030,"Ayam goreng pasundan, paha",-,-,Daging,Olahan (Processed),-,52.8,245.0,33.1,11.4,0.3,0.0,2.5,90.0,283.0,7.3,29.0,201.0,0.2,0.7,8.0,2.0,40.0,0.37,0.1,0.0,0.0,Kurang,Lebih,Kurang,Lebih,0.2197
FP031,"Ayam goreng pioneer, dada",-,-,Daging,Olahan (Processed),-,44.5,295.0,37.4,14.7,0.6,0.0,2.7,108.0,236.0,6.8,29.0,201.0,0.2,0.7,16.0,2.0,80.0,0.1,0.1,0.0,0.0,Kurang,Lebih,Kurang,Cukup,0.2515
FP032,"Ayam goreng sukabumi, dada",-,-,Daging,Olahan (Processed),-,49.8,244.0,36.7,9.2,1.0,0.0,3.4,81.0,154.0,6.1,29.0,201.0,0.2,0.7,20.0,2.0,80.0,0.66,0.1,0.0,0.0,Kurang,Lebih,Kurang,Cukup,0.2261
FP033,"Ayam goreng sukabumi, paha",-,-,Daging,Olahan (Processed),-,46.0,283.0,35.7,14.3,0.5,0.0,3.6,68.0,106.0,5.4,29.0,201.0,0.2,0.7,11.0,2.0,60.0,0.36,0.1,0.0,0.0,Kurang,Lebih,Kurang,Cukup,0.2285
FP034,"Ayam taliwang, masakan",-,-,Daging,Olahan (Processed),-,57.5,264.0,18.2,20.1,2.7,1.4,1.5,94.0,164.0,2.0,507.0,408.0,0.4,12.3,1.0,2.0,4.0,0.1,0.1,0.8,0.0,Kurang,Cukup,Kurang,Kurang,0.1622
FP001,"Ayam, ampela, goreng",-,-,Daging,Olahan (Processed),-,4.8,270.0,32.3,11.2,9.9,0.0,1.8,129.0,314.0,4.9,980.0,201.0,0.12,3.3,56.0,2.0,0.0,0.21,0.1,4.7,0.0,Kurang,Lebih,Kurang,Cukup,0.2278
FR005,"Ayam, daging, segar (Chicken, meat, fresh)",Gallus gallus domesticus,-,Daging,Mentah (Raw),-,55.9,298.0,18.2,25.0,0.0,0.0,0.9,14.0,200.0,1.5,109.0,385.9,0.11,0.6,245.0,0.0,4.0,0.08,0.14,10.4,0.0,Kurang,Cukup,Kurang,Kurang,0.1498
FR006,"Ayam, dideh/darah, segar (Black puding (chicken blood), fresh)",Gallus gallus domesticus,-,Daging,Mentah (Raw),-,82.0,75.0,13.8,1.9,0.7,0.0,1.6,15.0,9.0,1.3,337.0,234.0,0.2,0.7,15.0,2.0,4.0,0.02,0.1,0.6,0.0,Kurang,Cukup,Kurang,Kurang,0.0724
FR007,"Ayam, hati, segar (Chicken liver, raw)",Gallus domesticus,-,Daging,Mentah (Raw),-,53.4,261.0,27.4,16.1,1.6,0.0,1.5,118.0,373.0,15.8,1.0,22.9,0.84,0.0,4.0,169.0,28.0,0.64,4.38,4.1,0.0,Kurang,Lebih,Kurang,Lebih,0.2343
FP002,"Ayam, usus, goreng",-,-,Daging,Olahan (Processed),-,4.6,473.0,45.2,26.3,13.9,0.0,10.1,1.0,458.0,8.4,29.0,201.0,0.2,0.7,6.0,2.0,224.0,0.57,0.1,0.0,0.0,Kurang,Lebih,Kurang,Lebih,0.3042
FP035,"Babi hutan masak rica, masakan",-,-,Daging,Olahan (Processed),-,56.2,491.0,24.6,16.3,0.2,1.4,2.7,18.0,144.0,1.2,1.0,327.0,0.2,2.6,2.0,2.0,4.0,0.61,0.47,0.8,0.0,Kurang,Lebih,Kurang,Kurang,0.2256
FR008,"Babi, daging, gemuk,segar (Pork, medium fat, fresh)",Sus scrofa domesticus,-,Daging,Mentah (Raw),-,42.0,453.0,11.9,45.0,0.0,0.0,1.1,7.0,117.0,1.8,112.0,819.3,0.22,0.4,0.0,0.0,4.0,0.58,0.59,5.9,0.0,Kurang,Cukup,Kurang,Kurang,0.1709
FR009,"Babi, daging, kurus, segar (Pork, lean, fresh)",Sus scrofa domesticus,-,Daging,Mentah (Raw),-,50.0,371.0,14.1,35.0,0.0,0.0,0.9,8.0,151.0,2.1,97.0,706.3,0.19,0.4,0.0,0.0,4.0,0.67,0.33,5.4,0.0,Kurang,Cukup,Kurang,Kurang,0.1565
FR010,"Babi, ginjal, segar (Kidney, pork, fresh)",Sus scrofa domesticus,-,Daging,Mentah (Raw),-,77.1,110.0,16.3,4.6,0.8,0.0,1.2,11.0,246.0,8.0,139.0,390.0,0.71,3.2,39.0,10.0,4.0,0.58,1.59,9.1,13.0,Kurang,Cukup,Kurang,Lebih,0.1069
FR011,"Babi, hati, segar (Liver, pork, fresh)",Sus scrofa domesticus,-,Daging,Mentah (Raw),-,72.3,129.0,19.7,4.8,1.7,0.0,1.5,10.0,362.0,18.0,110.0,447.0,0.58,0.1,4.0,6.0,4.0,0.4,1.16,5.7,23.0,Kurang,Lebih,Kurang,Lebih,0.1494
BP013,Bagea kelapa asin,-,Ambon,Umbi Berpati,Olahan (Processed),"Kue berbahan dasar sagu, kelapa, dan garam.",3.5,450.0,3.2,13.9,78.1,1.4,1.3,38.0,38.0,0.3,74.0,0.0,0.2,0.2,0.0,0.0,0.0,0.3,0.0,0.0,0.0,Kurang,Kurang,Kurang,Kurang,0.1449
BP014,Bagea kelapa manis,-,Ambon,Umbi Berpati,Olahan (Processed),"Kue berbahan dasar sagu, kelapa, dan gula",3.0,452.0,1.3,13.8,80.6,1.4,1.3,38.0,39.0,0.3,75.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kurang,Kurang,Kurang,Kurang,0.1391
BP015,Bagea kenari asin,-,Sulawesi dan Ambon,Umbi Berpati,Olahan (Processed),"Kue berbahan dasar sagu, kelapa, garam,  dan kenari",2.8,529.0,3.2,29.1,63.6,1.4,1.3,38.0,40.0,0.4,74.0,0.0,0.2,0.2,0.0,0.0,0.0,0.3,0.0,0.0,0.0,Cukup,Kurang,Kurang,Kurang,0.1673
BP016,Bagea kenari manis,-,Sulawesi dan Ambon,Umbi Berpati,Olahan (Processed),"Kue berbahan dasar sagu, kelapa, gula, dan  kenari",3.1,523.0,3.2,28.2,64.2,1.4,1.3,38.0,39.0,0.3,74.0,0.0,0.2,0.2,0.0,0.0,0.0,0.3,0.0,0.0,0.0,Cukup,Kurang,Kurang,Kurang,0.1653
BP017,Bagea kw 1,-,-,Umbi Berpati,Olahan (Processed),-,7.2,416.0,6.5,9.4,76.3,0.4,0.6,49.0,77.0,4.9,29.0,201.0,0.2,0.7,13.0,2.0,312.0,0.08,0.1,2.6,0.0,Kurang,Kurang,Kurang,Cukup,0.1613
BP018,Bagea kw 2,-,-,Umbi Berpati,Olahan (Processed),-,7.9,382.0,0.3,3.5,87.2,0.9,1.1,172.0,120.0,7.6,29.0,201.0,0.2,0.7,0.0,0.0,0.0,0.02,0.1,0.8,0.0,Kurang,Kurang,Kurang,Lebih,0.1695
AP030,"Bakpia, kue",-,-,Serealia,Olahan (Processed),-,38.9,272.0,8.7,6.7,44.1,0.9,1.6,194.0,117.0,4.5,29.0,201.0,0.2,0.7,0.0,2.0,1.0,0.31,1.0,2.9,0.0,Kurang,Kurang,Kurang,Cukup,0.1647
DR005,"Bakung, segar (Welsh onion, fresh)",Allium fistulosum,-,Sayuran,Mentah (Raw),-,92.5,27.0,2.0,0.2,4.2,3.8,1.1,19.0,20.0,0.5,37.0,340.0,0.2,0.3,0.0,1.0,4.0,0.2,0.1,0.3,42.0,Kurang,Kurang,Kurang,Kurang,0.0182
AP031,Bakwan,-,-,Serealia,Olahan (Processed),Di Jawa Barat disebut bala-bala; di Jawa Timur disebut ote-ote. Berbahan dasar campuran tepung terigu dan sayuran yang diolah dengan cara di goreng,40.5,280.0,8.2,10.2,39.0,3.4,2.1,204.0,79.0,7.0,29.0,201.0,0.2,0.7,0.0,2.0,0.0,0.08,0.1,0.8,0.0,Kurang,Kurang,Kurang,Cukup,0.1743
NP001,Balichong (Tiny shrimp fermented),-,-,Bumbu,Olahan (Processed),Udang kecil yang difermentasi,59.9,152.0,13.2,0.8,22.9,1.5,3.6,380.0,210.0,2.9,120.0,310.0,0.8,1.1,34.0,0.0,4.0,0.01,0.08,0.2,0.0,Kurang,Cukup,Cukup,Kurang,0.1899
DR006,"Baligo, segar (Wax gourd)",Benincasa pruriens  forma  hispida,-,Sayuran,Mentah (Raw),-,96.1,15.0,0.4,0.2,3.0,0.4,0.3,19.0,19.0,0.4,2.0,131.1,0.02,0.6,0.0,0.0,4.0,0.04,0.02,0.3,13.0,Kurang,Kurang,Kurang,Kurang,0.0092
AP032,Bantal,-,NTB,Serealia,Olahan (Processed),Jajanan dari ketan dan kacang tolo dibungkus daun kelapa diolah dengan cara dikukus. (Lontong ketan dan kacang),52.3,190.0,3.3,0.3,43.5,3.4,0.6,9.0,0.0,0.4,164.0,84.0,0.2,0.9,0.0,2.0,4.0,0.27,0.02,3.6,0.0,Kurang,Kurang,Kurang,Kurang,0.0654
EP001,Barongko,-,Bugis,Buah,Olahan (Processed),Bahan dasar terdiri dari pisang dihaluskan ditambah santan dan gula pasir kemudian dibungkus daun pisang dan dikukus,66.7,159.0,3.1,5.8,23.5,1.4,0.7,35.0,65.0,1.2,46.0,78.0,0.3,0.6,0.0,2.0,4.0,0.1,0.1,0.8,0.0,Kurang,Kurang,Kurang,Kurang,0.0648
AP033,Baruasa,-,Makassar,Serealia,Olahan (Processed),"Kue kering berbahan dasar tepung beras, gula pasir, telur, kelapa parut diolah dengan cara dipanggang",5.3,417.0,6.5,8.2,79.3,1.4,0.7,55.0,93.0,1.9,29.0,201.0,0.2,0.7,0.0,2.0,4.0,0.1,0.1,0.8,0.0,Kurang,Kurang,Kurang,Kurang,0.1553
AP034,Batar daan,-,Timor Leste,Serealia,Olahan (Processed),"Semacam bubur jagung yang dilengkapi dengan campuran daging, kacang tanah, sayuran, dan belimbing",75.3,107.0,2.2,2.2,19.6,1.4,0.7,20.0,30.0,0.6,200.0,90.0,0.1,0.7,0.0,2.0,4.0,0.18,0.02,0.8,0.0,Kurang,Kurang,Kurang,Kurang,0.0418
BR002,"Batatas gembili, segar (Lesser yam, fresh)",Dioscorea esculenta,-,Umbi Berpati,Mentah (Raw),-,76.7,76.0,1.1,0.9,16.0,4.2,0.7,0.0,40.0,0.2,10.0,200.0,0.2,0.3,0.0,0.0,0.0,0.06,0.0,0.9,0.0,Kurang,Kurang,Kurang,Kurang,0.0232
BP001,"Batatas kelapa, ubi, bakar",-,-,Umbi Berpati,Olahan (Processed),-,73.2,110.0,1.4,1.1,23.4,4.5,0.7,1.0,46.0,0.2,12.0,230.0,0.2,0.3,0.0,0.0,0.0,1.13,0.0,0.0,0.0,Kurang,Kurang,Kurang,Kurang,0.034
BP002,"Batatas kelapa, ubi, kukus",-,-,Umbi Berpati,Olahan (Processed),-,75.7,92.0,1.2,0.3,21.0,4.1,1.8,0.0,42.0,0.2,10.0,209.0,0.2,0.3,0.0,0.0,0.0,0.28,0.0,0.7,0.0,Kurang,Kurang,Kurang,Kurang,0.028
BR003,"Batatas kelapa, ubi, segar",-,-,Umbi Berpati,Mentah (Raw),-,76.1,89.0,1.1,0.1,21.0,4.0,0.7,0.0,40.0,0.2,20.0,340.0,0.1,0.2,0.0,0.0,0.0,0.38,0.0,0.9,0.0,Kurang,Kurang,Kurang,Kurang,0.0269
BP003,"Batatas tali, ubi, rebus",-,-,Umbi Berpati,Olahan (Processed),-,53.2,182.0,2.4,0.4,42.2,9.2,1.8,1.0,80.0,0.3,20.0,402.0,0.3,0.6,0.0,0.0,0.0,0.27,0.0,1.3,0.0,Kurang,Kurang,Kurang,Kurang,0.0578
DR007,"Bawang bombay, segar (Onion, fresh)",Allium cepa  cv. Group Common Onion,-,Sayuran,Mentah (Raw),-,87.5,43.0,1.4,0.2,10.3,2.0,0.6,32.0,44.0,0.5,12.0,9.6,0.1,0.3,0.0,788.0,50.0,0.03,0.21,0.4,9.0,Kurang,Kurang,Kurang,Kurang,0.024
NR007,"Bawang merah, segar (Shallot)",Allium fistulosum,-,Bumbu,Mentah (Raw),-,88.0,46.0,1.5,0.3,9.2,1.7,1.0,36.0,40.0,0.8,7.0,178.6,0.06,0.2,0.0,2.0,4.0,0.03,0.04,0.2,2.0,Kurang,Kurang,Kurang,Kurang,0.027
NR008,"Bawang putih, segar (Garlic)",Allium sativum,-,Bumbu,Mentah (Raw),-,71.0,112.0,4.5,0.2,23.1,0.6,1.8,42.0,134.0,1.0,46.0,665.7,0.09,0.4,0.0,0.0,4.0,0.22,0.07,0.3,15.0,Kurang,Kurang,Kurang,Kurang,0.0576
DP002,"Bayam ,rebus",-,-,Sayuran,Olahan (Processed),-,93.5,23.0,1.2,0.6,3.7,1.1,1.0,150.0,35.0,0.5,16.0,308.4,0.2,0.3,0.0,3.0,2.0,0.02,0.1,0.9,19.0,Kurang,Kurang,Kurang,Kurang,0.0481
DR009,"Bayam merah, segar (Spinach, red, fresh)",Amaranthus tricolor,-,Sayuran,Mentah (Raw),-,88.5,41.0,2.2,0.8,6.3,2.2,2.2,520.0,80.0,7.0,20.0,60.0,0.2,0.8,0.0,7.0,4.0,0.2,0.1,0.1,62.0,Kurang,Kurang,Cukup,Cukup,0.1685
DP001,"Bayam, kukus",-,-,Sayuran,Olahan (Processed),-,90.7,30.0,1.3,0.7,5.8,1.2,1.6,239.0,35.0,5.7,15.0,431.0,0.1,0.3,0.0,2.0,3.0,0.02,0.1,0.9,32.0,Kurang,Kurang,Kurang,Cukup,0.0868
